Exercise,primary,secondary
bodyweight-cossack-squat,front_quads,"back_hip_abductors (40.0%), back_hip_adductors (40.0%), back_hamstrings (40.0%), front_hip_abductors (40.0%), front_hip_adductors (40.0%)"
single-leg-slider-hamstring-curl,back_hamstrings,"back_glutes (40.0%), back_lower_back (40.0%)"
wall-sit,front_quads,back_glutes (40.0%)
bodyweight-good-morning,back_hamstrings,
weighted-machine-walk,front_quads,"back_calves (40.0%), back_glutes (40.0%), back_hamstrings (40.0%)"
elevated-knee-tap,front_shoulders,"front_abs (40.0%), front_hip_flexors (40.0%)"
arm-circle,front_shoulders,
star-plank-hold,front_shoulders,front_abs (40.0%)
cobra-stretch,front_abs,
weighted-plank,front_abs,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
shoulder-stretch,front_shoulders,
bodyweight-calf-raise,back_calves,
forearm-stretch,front_forearms,
standing-balance-lateral-reach,front_quads,
side-plank-dip,front_obliques,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
russian-twist,front_obliques,
knee-tap,front_hip_flexors,
sumo-squat,front_quads,
bodyweight-squat-hold,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%)"
bridge-stretch,front_shoulders,"back_lower_back (40.0%), front_abs (40.0%)"
lunge-to-donkey-kick,front_quads,
flutter-kick,front_hip_flexors,front_obliques (40.0%)
spin-bike,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%)"
bodyweight-squat,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%)"
bodyweight-leg-adduction,front_hip_adductors,
single-leg-bodyweight-calf-raise,back_calves,
bodyweight-standing-fire-hydrant,front_hip_abductors,
spiderman,front_shoulders,front_obliques (40.0%)
knee-cover-crunch,front_abs,
palm-up-forearm-stretch,front_forearms,
floor-t,front_traps,
figure-four-stretch,front_hip_flexors,
clam-shell,front_hip_abductors,back_glutes (40.0%)
plank-reach-through,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
handstand,front_shoulders,front_traps (40.0%)
roll-out,front_abs,"back_lats (40.0%), front_obliques (40.0%)"
couch-stretch,front_quads,
bodyweight-forward-lunge-hold,front_quads,
dragonflag,front_abs,"back_lats (40.0%), front_biceps (40.0%), front_obliques (40.0%)"
slow-bicycle,front_obliques,
west-side-bodyweight-box-squat,front_quads,
standing-ankle-inversion-eversion,front_tibialis,
lying-toe-touch,front_obliques,
v-up,front_abs,
glute-bridge-open-and-close,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
chest-opener,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
leg-raise,front_hip_flexors,front_obliques (40.0%)
calf-stretch,back_calves,
crab-toe-touch,front_shoulders,front_hip_flexors (40.0%)
box-squat,front_quads,back_hamstrings (40.0%)
bodyweight-half-squat,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%)"
kneeling-fire-hydrant,front_hip_abductors,"back_glutes (40.0%), front_hip_flexors (40.0%)"
single-kettlebell-push-up-with-drag,front_shoulders,"front_abs (40.0%), front_obliques (40.0%)"
pistol-squat,front_quads,
ball-table-top-crunch,front_abs,"back_hamstrings (40.0%), front_shoulders (40.0%)"
neck-stretch,front_neck,
diamond-push-up,front_chest,
single-leg-wall-sit,front_quads,
shadow-boxing,front_shoulders,front_chest (40.0%)
ghd-sit-up,front_abs,front_obliques (40.0%)
wall-walk-out,front_shoulders,front_abs (40.0%)
cat-cow,front_abs,
slider-hamstring-curl,back_hamstrings,"back_glutes (40.0%), back_lower_back (40.0%)"
single-leg-donkey-kick,back_hamstrings,
banana-hold,front_abs,front_obliques (40.0%)
bodyweight-side-bend,front_obliques,
lying-leg-raise,front_abs,front_hip_flexors (40.0%)
seal-crunch,front_abs,front_hip_flexors (40.0%)
childs-pose,back_lower_back,
bodyweight-overhead-lunge-hold,front_shoulders,back_glutes (40.0%)
plank-reach,front_abs,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
elevated-step-burpee,front_shoulders,"front_abs (40.0%), front_quads (40.0%)"
lying-alt-leg-raise,front_hip_flexors,
elliptical,front_quads,"back_calves (40.0%), back_lats (40.0%), back_hamstrings (40.0%), front_biceps (40.0%), front_chest (40.0%), front_hip_flexors (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
high-plank-reach-through-to-push-up,front_shoulders,"front_chest (40.0%), front_obliques (40.0%)"
spine-rotation-stretch,back_lower_back,
jumping-jack,back_calves,"back_hip_adductors (40.0%), back_hamstrings (40.0%), front_hip_adductors (40.0%), front_shoulders (40.0%)"
hurdler-stretch,front_hip_adductors,back_lower_back (40.0%)
kneeling-hip-rotation,front_hip_abductors,"back_glutes (40.0%), front_hip_flexors (40.0%)"
overhead-to-floor-stretch,back_hamstrings,
kneeling-push-up,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
jump-rope,back_calves,front_quads (40.0%)
crab-walk,front_shoulders,
standing-quad-stretch,front_quads,
walking-frankenstein,back_hamstrings,
bodyweight-overhead-lunge,front_shoulders,back_glutes (40.0%)
very-incline-wide-push-up,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
tricep-push-up,front_chest,
heisman,front_quads,
straddle-stretch,front_hip_adductors,
bunny-hop,back_calves,front_quads (40.0%)
lat-stretch,back_lats,
sleeper-stretch,front_shoulders,
floor-leg-abduction,front_hip_abductors,
extended-dog-stretch,front_abs,"back_hamstrings (40.0%), front_shoulders (40.0%)"
bodyweight-v-up-hold,front_abs,
turkish-get-up-to-bridge,front_abs,"back_glutes (40.0%), back_hamstrings (40.0%), front_shoulders (40.0%)"
single-leg-bodyweight-box-squat,front_quads,back_hamstrings (40.0%)
leg-cross-body-stretch,back_glutes,back_lower_back (40.0%)
ball-toe-tap,front_hip_flexors,"back_calves (40.0%), back_glutes (40.0%)"
side-plank,front_obliques,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
prone-frog-kick,back_lower_back,
standing-balance-reverse-toe-tap,front_quads,back_glutes (40.0%)
sled-push,front_quads,"back_calves (40.0%), back_hamstrings (40.0%), front_shoulders (40.0%)"
push-up-hold,front_chest,back_hamstrings (40.0%)
push-up-position-leg-raise,front_abs,"back_glutes (40.0%), back_hamstrings (40.0%), front_shoulders (40.0%)"
jump-lunge,front_quads,back_hamstrings (40.0%)
forward-lunge,front_quads,
a-skip,front_hip_flexors,
b-skip,front_hip_flexors,
incline-push-up,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
bike,front_quads,"back_calves (40.0%), back_glutes (40.0%)"
side-plank-knee-to-elbow,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
bodyweight-half-push-up,front_chest,back_hamstrings (40.0%)
plank-twist,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
slider-mountain-climber,front_shoulders,"back_lower_back (40.0%), front_hip_flexors (40.0%)"
dumbbell-push-up-with-drag,front_shoulders,"front_abs (40.0%), front_obliques (40.0%)"
wide-push-up,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
plie-squat-to-calf-raise,front_quads,"back_calves (40.0%), back_glutes (40.0%)"
toe-touch-crunch,front_abs,
wall-walk,front_shoulders,front_abs (40.0%)
rowing,back_hamstrings,"back_glutes (40.0%), back_lower_back (40.0%), front_biceps (40.0%), front_quads (40.0%)"
bodyweight-split-squat,front_quads,back_hamstrings (40.0%)
bodyweight-lying-snow-angel,front_shoulders,
inchworm-to-push-up,front_shoulders,
bodyweight-reverse-half-lunge,front_quads,
smackdown-stretch,back_hamstrings,back_lower_back (40.0%)
lying-alternating-arm-leg-reach,front_shoulders,front_abs (40.0%)
handstand-push-up,front_shoulders,front_traps (40.0%)
floor-iyt,front_traps,
split-stretch,front_hip_flexors,
band-overhead-stretch,front_shoulders,
standing-hamstring-stretch,back_hamstrings,
prayer-stretch,back_lats,
pause-bear-crawl,front_shoulders,front_abs (40.0%)
wall-reach,front_shoulders,
glute-march,back_hamstrings,front_quads (40.0%)
tricep-to-push-up,back_hamstrings,front_chest (40.0%)
side-plank-abduction,front_obliques,"back_glutes (40.0%), back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
single-leg-hamstring-stretch,back_hamstrings,
very-incline-neutral-push-up,front_chest,back_hamstrings (40.0%)
hamstring-stretch,back_hamstrings,
sprint,front_quads,back_calves (40.0%)
pigeon-stretch,back_glutes,
weighted-wall-sit,front_quads,back_glutes (40.0%)
standing-balance-lateral-toe-tap,front_quads,back_glutes (40.0%)
floor-leg-adduction,front_hip_adductors,
single-leg-broad-jump,front_quads,back_calves (40.0%)
standing-balance-toe-tap,front_quads,back_glutes (40.0%)
single-arm-side-push-up,front_chest,"front_abs (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
ball-knee-strike,front_abs,front_obliques (40.0%)
run,front_quads,"back_calves (40.0%), front_hip_flexors (40.0%)"
star-jump,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%), front_shoulders (40.0%)"
bodyweight-double-windmill,front_obliques,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
crunch,front_abs,
sprinter-lunge,front_quads,back_glutes (40.0%)
seated-straddle-stretch,front_hip_adductors,back_lower_back (40.0%)
slider-body-saw,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
sit-up,front_abs,
squat-shuffle,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%)"
hip-flexor-stretch,front_hip_flexors,front_quads (40.0%)
lateral-lunge,front_quads,"back_hip_abductors (40.0%), front_hip_abductors (40.0%)"
skater-jump,front_hip_abductors,front_quads (40.0%)
inchworm,front_shoulders,
thumb-forearm-stretch,front_forearms,
very-incline-pike-push-up,front_shoulders,
ninja-tuck-jump,front_quads,back_calves (40.0%)
nordic,back_hamstrings,back_lower_back (40.0%)
plank-shoulder-tap,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
side-shuffle,back_glutes,front_quads (40.0%)
bodyweight-leg-abduction,front_hip_abductors,
plank,front_abs,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
sprinter-up,front_abs,front_hip_flexors (40.0%)
high-plank,front_shoulders,front_obliques (40.0%)
hollow-roll,front_shoulders,
alternating-arm-leg-reach,front_abs,"back_hamstrings (40.0%), front_shoulders (40.0%)"
incline-tricep-push-up,front_chest,
march,front_hip_flexors,
dive-bomber-push-up,front_shoulders,front_traps (40.0%)
push-up-to-reach,front_shoulders,front_traps (40.0%)
mountain-climber,front_hip_flexors,"back_hamstrings (40.0%), front_shoulders (40.0%)"
spiderman-push-up,front_chest,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
standing-calf-stretch,back_calves,
l-sit,front_hip_flexors,"back_hamstrings (40.0%), front_shoulders (40.0%)"
bodyweight-froggys,front_quads,"back_hamstrings (40.0%), front_hip_flexors (40.0%)"
chair-plank-jack,front_shoulders,back_lower_back (40.0%)
chair-mountain-climber,front_shoulders,"back_lower_back (40.0%), front_hip_flexors (40.0%)"
buttkick,front_quads,back_glutes (40.0%)
bodyweight-tibialis-raise,front_tibialis,
single-arm-toe-touch-reach,back_hamstrings,back_lower_back (40.0%)
bodyweight-standing-hip-rotation,front_hip_flexors,
push-up-position-toe-touch,front_abs,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
pec-stretch,front_chest,
incline-pike-push-up,front_shoulders,
overhead-rack-roll,front_traps,
lying-hamstring-stretch,back_hamstrings,
half-burpee,front_quads,"back_calves (40.0%), back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
bodyweight-internal-rotation,front_shoulders,
floor-reach,front_shoulders,
explosive-push-up,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
quad-stretch,front_quads,
bodyweight-walking-lunge,front_quads,
slider-single-arm-push-up,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
bent-over-swimmer,front_traps,
plank-jack,front_abs,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
bent-knee-chair-leg-raise,front_hip_flexors,
plyo-rabbit,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
floor-y,front_traps,
bear-crawl,front_shoulders,front_chest (40.0%)
spiderman-stretch,front_hip_flexors,
tricep-stretch,back_hamstrings,
bodyweight-seated-hip-rotation,front_hip_abductors,
superman,back_lower_back,"back_hamstrings (40.0%), front_shoulders (40.0%), front_traps (40.0%)"
bodyweight-reverse-lunge,front_quads,back_hamstrings (40.0%)
two-leg-hamstring-stretch,back_hamstrings,
three-point-slider,front_quads,
single-kettlebell-plank-weight-drag-through,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
frog-stretch,front_hip_flexors,
plank-to-push-up,front_shoulders,
the-hundred,front_hip_flexors,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
shoulder-tap-to-push-up,front_shoulders,front_abs (40.0%)
high-side-plank,front_shoulders,front_abs (40.0%)
side-plank-leg-abduction,front_obliques,"back_glutes (40.0%), back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
attack-and-retreat,front_quads,back_glutes (40.0%)
donkey-kick,back_hamstrings,
standing-ankle-flexion,front_tibialis,
push-up,front_chest,back_hamstrings (40.0%)
windshield-wiper,front_obliques,
fast-feet,front_hip_flexors,front_quads (40.0%)
lying-hollow-body-hold,front_abs,front_hip_flexors (40.0%)
